# FF7 Virtual Address Mapping for HEXT Patching
# Generated: 2026-01-02 20:49:47 JST
# Session: 93c10c47-4dd6-41a6-aa90-73c6b0def3b1
#
# Virtual Address Calculation:
# VA = (FileOffset - 0x3B8A00) + 0x3BA000 + 0x400000
#
# Format: INDEX | FILE_OFFSET | VIRTUAL_ADDRESS | LENGTH | TYPE
# ================================================================================

140 | 0x0051A16C | 0x0091B76C |   4 | RGB
141 | 0x0051A170 | 0x0091B770 |   4 | RGB
142 | 0x0051A174 | 0x0091B774 |   4 | RGB
143 | 0x0051A178 | 0x0091B778 |   4 | RGB
144 | 0x0051A17C | 0x0091B77C |   4 | RGB
145 | 0x0051A180 | 0x0091B780 |   8 | RGB
146 | 0x0051A188 | 0x0091B788 |   8 | RGB
147 | 0x0051A190 | 0x0091B790 |   8 | RGB
148 | 0x0051A198 | 0x0091B798 |   8 | RGB
149 | 0x0051A1A0 | 0x0091B7A0 |   8 | RGB
150 | 0x0051A1A8 | 0x0091B7A8 |  12 | RGB
151 | 0x0051A1B4 | 0x0091B7B4 |   8 | RGB
152 | 0x0051A1BC | 0x0091B7BC |   8 | RGB
153 | 0x0051A1C4 | 0x0091B7C4 |   8 | RGB
154 | 0x0051A1CC | 0x0091B7CC |   4 | RGB
155 | 0x0051A1D0 | 0x0091B7D0 |   8 | RGB
156 | 0x0051A1D8 | 0x0091B7D8 |   8 | RGB
157 | 0x0051A1E0 | 0x0091B7E0 |   8 | RGB
158 | 0x0051A1E8 | 0x0091B7E8 |   8 | RGB
159 | 0x0051A1F0 | 0x0091B7F0 |   8 | RGB
160 | 0x0051A210 | 0x0091B810 |   4 | RGB
161 | 0x0051A214 | 0x0091B814 |   4 | RGB
162 | 0x0051A270 | 0x0091B870 |   4 | RGB
163 | 0x0051A274 | 0x0091B874 |   4 | RGB
164 | 0x0051A278 | 0x0091B878 |   4 | RGB
165 | 0x0051A2C4 | 0x0091B8C4 |   8 | RGB
166 | 0x0051A30C | 0x0091B90C |   8 | RGB
167 | 0x0051A31C | 0x0091B91C |  12 | RGB
168 | 0x0051A330 | 0x0091B930 |   4 | RGB
169 | 0x0051A3AC | 0x0091B9AC |  16 | RGB
170 | 0x0051A3CC | 0x0091B9CC |  12 | RGB
171 | 0x0051A3D8 | 0x0091B9D8 |   4 | RGB
172 | 0x0051A3DC | 0x0091B9DC |   8 | RGB
173 | 0x0051A3E4 | 0x0091B9E4 |  12 | RGB
174 | 0x0051A3F0 | 0x0091B9F0 |   8 | RGB
175 | 0x0051A3F8 | 0x0091B9F8 |   8 | RGB
176 | 0x0051A400 | 0x0091BA00 |   4 | RGB
177 | 0x0051A404 | 0x0091BA04 |  12 | RGB
178 | 0x0051A430 | 0x0091BA30 |  12 | RGB
179 | 0x0051A43C | 0x0091BA3C |  16 | RGB
180 | 0x0051A4F4 | 0x0091BAF4 |  12 | RGB
181 | 0x0051A508 | 0x0091BB08 |   8 | RGB
182 | 0x0051A518 | 0x0091BB18 |   8 | RGB
183 | 0x0051A520 | 0x0091BB20 |  12 | RGB
184 | 0x0051A59C | 0x0091BB9C |   8 | RGB
185 | 0x0051A5A4 | 0x0091BBA4 |   4 | RGB
186 | 0x0051A5A8 | 0x0091BBA8 |   8 | RGB
187 | 0x0051A5B8 | 0x0091BBB8 |   8 | RGB
188 | 0x0051A5C8 | 0x0091BBC8 |   8 | RGB
189 | 0x0051A5D8 | 0x0091BBD8 |   4 | RGB
190 | 0x0051A5DC | 0x0091BBDC |   8 | RGB
191 | 0x0051A5E4 | 0x0091BBE4 |  12 | RGB
192 | 0x0051A5F0 | 0x0091BBF0 |   8 | RGB
193 | 0x0051A5F8 | 0x0091BBF8 |   8 | RGB
194 | 0x0051A638 | 0x0091BC38 |  12 | RGB
195 | 0x0051A644 | 0x0091BC44 |  12 | RGB
196 | 0x0051A650 | 0x0091BC50 |   8 | RGB
197 | 0x0051A660 | 0x0091BC60 |  12 | RGB
198 | 0x0051A66C | 0x0091BC6C |  12 | RGB
199 | 0x0051A678 | 0x0091BC78 |  12 | RGB
200 | 0x0051A68C | 0x0091BC8C |   4 | RGB
201 | 0x0051A690 | 0x0091BC90 |   8 | RGB
202 | 0x0051A698 | 0x0091BC98 |   8 | RGB
203 | 0x0051A6A0 | 0x0091BCA0 |   8 | RGB
204 | 0x0051A6C8 | 0x0091BCC8 |  12 | RGB
205 | 0x0051A6D4 | 0x0091BCD4 |  12 | RGB
206 | 0x0051A6E0 | 0x0091BCE0 |  12 | RGB
207 | 0x0051A6EC | 0x0091BCEC |  12 | RGB
208 | 0x0051A6F8 | 0x0091BCF8 |  12 | RGB
209 | 0x0051A704 | 0x0091BD04 |  12 | RGB
210 | 0x0051A710 | 0x0091BD10 |  12 | RGB
211 | 0x0051A71C | 0x0091BD1C |  12 | RGB
212 | 0x0051A728 | 0x0091BD28 |  12 | DEF
213 | 0x0051A734 | 0x0091BD34 |  12 | DEF
214 | 0x0051D1E0 | 0x0091E7E0 |   8 | DEF
215 | 0x0051D23C | 0x0091E83C |  10 | DEF
216 | 0x0051D246 | 0x0091E846 |  10 | DEF
217 | 0x0051D250 | 0x0091E850 |  10 | DEF
218 | 0x0051D25A | 0x0091E85A |  10 | DEF
219 | 0x0051D264 | 0x0091E864 |  10 | DEF
220 | 0x0051D26E | 0x0091E86E |  10 | DEF
221 | 0x0051D278 | 0x0091E878 |  10 | DEF
222 | 0x0051D282 | 0x0091E882 |  10 | DEF
223 | 0x0051D28C | 0x0091E88C |  10 | DEF
224 | 0x0051D2B4 | 0x0091E8B4 |  10 | DEF
225 | 0x0051D2BE | 0x0091E8BE |  11 | DEF
226 | 0x0051D2DC | 0x0091E8DC |  10 | DEF
227 | 0x0051D2F0 | 0x0091E8F0 |  10 | DEF
228 | 0x0051D30E | 0x0091E90E |  10 | DEF
229 | 0x0051D318 | 0x0091E918 |  10 | DEF
230 | 0x0051D322 | 0x0091E922 |  10 | DEF
231 | 0x0051D32C | 0x0091E92C |  10 | DEF
232 | 0x0051D3A0 | 0x0091E9A0 |  28 | DEF
233 | 0x0051D3BC | 0x0091E9BC |   4 | DEF
234 | 0x0051D3C0 | 0x0091E9C0 |   8 | DEF
235 | 0x0051D3C8 | 0x0091E9C8 |  16 | DEF
236 | 0x0051D588 | 0x0091EB88 |  16 | DEF
237 | 0x0051D598 | 0x0091EB98 |  24 | DEF
238 | 0x0051D5B0 | 0x0091EBB0 |  22 | DEF
239 | 0x0051D5C6 | 0x0091EBC6 |  22 | DEF
240 | 0x0051D5DC | 0x0091EBDC |  22 | DEF
241 | 0x0051D608 | 0x0091EC08 |  32 | DEF
242 | 0x0051D628 | 0x0091EC28 |  32 | DEF
243 | 0x0051D648 | 0x0091EC48 |  32 | DEF
244 | 0x0051D668 | 0x0091EC68 |  32 | DEF
245 | 0x0051D688 | 0x0091EC88 |  32 | DEF
246 | 0x0051D6A8 | 0x0091ECA8 |  32 | DEF
247 | 0x0051D6C8 | 0x0091ECC8 |  32 | DEF
248 | 0x0051D6E8 | 0x0091ECE8 |  32 | DEF
249 | 0x0051D708 | 0x0091ED08 |  32 | DEF
250 | 0x0051D728 | 0x0091ED28 |  32 | DEF
251 | 0x0051D748 | 0x0091ED48 |  32 | DEF
252 | 0x0051D768 | 0x0091ED68 |  32 | DEF
253 | 0x0051D788 | 0x0091ED88 |  32 | DEF
254 | 0x0051D7A8 | 0x0091EDA8 |  32 | DEF
255 | 0x0051D7C8 | 0x0091EDC8 |  32 | DEF
256 | 0x0051D7E8 | 0x0091EDE8 |  32 | DEF
257 | 0x0051D808 | 0x0091EE08 |  32 | DEF
258 | 0x0051D828 | 0x0091EE28 |  32 | DEF
259 | 0x0051D848 | 0x0091EE48 |  32 | DEF
260 | 0x0051D868 | 0x0091EE68 |  32 | DEF
261 | 0x0051D888 | 0x0091EE88 |  32 | DEF
262 | 0x0051D8A8 | 0x0091EEA8 |  32 | DEF
263 | 0x0051D8C8 | 0x0091EEC8 |  32 | DEF
264 | 0x0051D8E8 | 0x0091EEE8 |  32 | DEF
265 | 0x0051D908 | 0x0091EF08 |  32 | DEF
266 | 0x0051D928 | 0x0091EF28 |  34 | DEF
267 | 0x0051D94A | 0x0091EF4A |  34 | DEF
268 | 0x0051D96C | 0x0091EF6C |  34 | DEF
269 | 0x0051DAE0 | 0x0091F0E0 |   8 | DEF
270 | 0x0051DB40 | 0x0091F140 |  38 | DEF
271 | 0x0051DB66 | 0x0091F166 |  38 | DEF
272 | 0x0051DB8C | 0x0091F18C |  38 | DEF
273 | 0x0051DBB2 | 0x0091F1B2 |  38 | DEF
274 | 0x0051DBD8 | 0x0091F1D8 |  38 | DEF
275 | 0x0051DBFE | 0x0091F1FE |  38 | DEF
276 | 0x0051DE22 | 0x0091F422 |  22 | DEF
277 | 0x0051DE38 | 0x0091F438 |  22 | DEF
278 | 0x0051DE4E | 0x0091F44E |  22 | DEF
279 | 0x0051DED8 | 0x0091F4D8 |  36 | DEF
280 | 0x0051DEFC | 0x0091F4FC |  36 | DEF
281 | 0x0051DF20 | 0x0091F520 |  36 | DEF
282 | 0x0051DF44 | 0x0091F544 |  36 | DEF
283 | 0x0051DF68 | 0x0091F568 |  36 | DEF
284 | 0x0051DF8C | 0x0091F58C |  36 | DEF
285 | 0x0051DFB0 | 0x0091F5B0 |  36 | DEF
286 | 0x0051DFD4 | 0x0091F5D4 |  36 | DEF
287 | 0x0051DFF8 | 0x0091F5F8 |  36 | DEF
288 | 0x0051E01C | 0x0091F61C |  36 | DEF
289 | 0x0051E040 | 0x0091F640 |  36 | DEF
290 | 0x0051E064 | 0x0091F664 |  36 | DEF
291 | 0x0051E088 | 0x0091F688 |  36 | DEF
292 | 0x0051E0AC | 0x0091F6AC |  36 | DEF
293 | 0x0051EF40 | 0x00920540 |  10 | DEF
294 | 0x0051EF4A | 0x0092054A |  10 | DEF
295 | 0x0051EF54 | 0x00920554 |  10 | DEF
296 | 0x0051EF5E | 0x0092055E |  10 | DEF
297 | 0x0051EF68 | 0x00920568 |  10 | DEF
298 | 0x0051EF72 | 0x00920572 |  10 | DEF
299 | 0x0051EF7C | 0x0092057C |  10 | DEF
300 | 0x0051EF86 | 0x00920586 |  10 | DEF
301 | 0x0051EF90 | 0x00920590 |  10 | DEF
302 | 0x0051EFA0 | 0x009205A0 |  20 | DEF
303 | 0x0051EFB4 | 0x009205B4 |  20 | DEF
304 | 0x0051EFC8 | 0x009205C8 |  20 | DEF
