Address (Hex),Address (Dec),Primary Purpose,Categories,Min Value,Max Value,Occurrences,Example Values
71E9B7,7465399,sell materia - purple DEXUP + X-Axis,"MateriaMenu, PositionX",110,110,1,6E
71E9D0,7465424,sell materia - purple DEXUP % Y-Axis,"MateriaMenu, PositionY",48,48,1,30
71E9D5,7465429,sell materia - purple DEXUP % X-Axis,"MateriaMenu, PositionX",144,144,1,90
71E9F0,7465456,sell materia - purple MAGUP ability Y-Axis,"MateriaMenu, PositionY",43,43,1,2B
71E9F5,7465461,sell materia - purple MAGUP ability X-Axis,"MateriaMenu, PositionX",17,17,1,11
71EA13,7465491,sell materia - purple MAGUP number Y-Axis,"MateriaMenu, PositionY",48,48,1,30
71EA18,7465496,sell materia - purple MAGUP number X-Axis,"MateriaMenu, PositionX",122,122,1,7A
71EA2E,7465518,sell materia - purple MAGUP + Y-Axis,"MateriaMenu, PositionY",48,48,1,30
71EA33,7465523,sell materia - purple MAGUP + X-Axis,"MateriaMenu, PositionX",110,110,1,6E
71EA49,7465545,sell materia - purple MAGUP % Y-Axis,"MateriaMenu, PositionY",48,48,1,30
71EA4E,7465550,sell materia - purple MAGUP % X-Axis,"MateriaMenu, PositionX",144,144,1,90
71EA6C,7465580,sell materia - purple LUCKUP ability Y-Axis,"MateriaMenu, PositionY",43,43,1,2B
71EA71,7465585,sell materia - purple LUCKUP ability X-Axis,"MateriaMenu, PositionX",17,17,1,11
71EA90,7465616,sell materia - purple LUCKUP number Y-Axis,"MateriaMenu, PositionY",48,48,1,30
71EA95,7465621,sell materia - purple LUCKUP number X-Axis,"MateriaMenu, PositionX",103,103,1,67
71EAAB,7465643,sell materia - purple LUCKUP + Y-Axis,"MateriaMenu, PositionY",48,48,1,30
71EAB0,7465648,sell materia - purple LUCKUP + X-Axis,"MateriaMenu, PositionX",91,91,1,5B
71EAC6,7465670,sell materia - purple LUCKUP % Y-Axis,"MateriaMenu, PositionY",48,48,1,30
71EACB,7465675,sell materia - purple LUCKUP % X-Axis,"MateriaMenu, PositionX",125,125,1,7D
71EAE6,7465702,sell materia - purple COVER ability Y-Axis,"MateriaMenu, PositionY",43,43,1,2B
71EAEB,7465707,sell materia - purple COVER ability X-Axis,"MateriaMenu, PositionX",17,17,1,11
71EB0A,7465738,sell materia - purple COVER number Y-Axis,"MateriaMenu, PositionY",48,48,1,30
71EB0F,7465743,sell materia - purple COVER number X-Axis,"MateriaMenu, PositionX",122,122,1,7A
71EB25,7465765,sell materia - purple COVER + Y-Axis,"MateriaMenu, PositionY",48,48,1,30
71EB2A,7465770,sell materia - purple COVER + X-Axis,"MateriaMenu, PositionX",110,110,1,6E
71EB40,7465792,sell materia - purple COVER % Y-Axis,"MateriaMenu, PositionY",48,48,1,30
71EB45,7465797,sell materia - purple COVER % X-Axis,"MateriaMenu, PositionX",155,155,1,9B
