Address (Hex),Address (Dec),Primary Purpose,Categories,Min Value,Max Value,Occurrences,Example Values
0023B6B8,2340536,Syncs Barrett's animation to opening music,Bar,192,192,1,C0
009204E8,9569512,"limit menu - description box X-Axis, Y-Axis, Width, Height","Box, Height, LimitMenu, PositionX, PositionY, Width",0,116,1,00 00 74 00
00920AD0,9571024,"equip menu - description box X-Axis, Y-Axis, Width, Height","Box, EquipMenu, Height, PositionX, PositionY, Width",0,116,1,00 00 74 00
06FF211,7336465,save text X-Axis,"PositionX, SaveLoadMenu, Text",13,13,1,0D
41B4E8,4306152,screen pos - increases pheonix glitch but overall better experience,Uncategorized,0,0,1,00
41B51A,4306202,"FMV/FIELD C0, STOCK 4C, FULL SCREEN E0",Field,224,224,1,E0
41C4C0,4310208,Certain statuses like Resist are intentionally not shown in the battle menu.  To place them back:,"Battle, StatusMenu",144,144,1,90 90 90 90 90 90
5BB847,6010951,"Battle text/graphics like ""Recovery"" position","Battle, Text",21,21,1,15
5BCFD0,6016976,mini avatar support,"Avatar, Battle, Opacity",0,232,11,E8 DE 74 35 00 90 90 90 90; E8 DE 74 35 00 90 90 90 90; E8 DE 74 35 00 90 90 90 90
5BCFD7,6016983,time BA normal  00 no fade in (shrinking black area),Uncategorized,0,0,1,00
630CEB,6491371,field boxes Y-Axis negative offset 91449D to change value,"Box, Field, PositionY",0,232,1,E8 9B 37 2E 00 90 90
630EA9,6491817,field boxes viewable lines offset (refresh dialog),"Box, Field",74,201,1,4A C9 91
630EFC,6491900,field dialog text block scroll amount (refresh dialog),"Field, Text",3,3,1,03
6311FA,6492666,field boxes viewable lines offset (refresh dialog),"Box, Field",74,201,1,4A C9 91
63124D,6492749,field dialog text block scroll amount (refresh dialog),"Field, Text",3,3,1,03
631382,6493058,field cursor X-Axis,"Cursor, Field, PositionX",0,0,1,00 00
63138A,6493066,cursor spacing Y-Axis,"Cursor, PositionY, Spacing",12,192,1,6B C0 0C
63138F,6493071,field cursor Y-Axis,"Cursor, Field, PositionY",5,8,3,08; 05; 08
63191A,6494490,field box padding top/bottom 914488 to change value,"Box, Field",0,232,1,E8 5C 2B 2E 00 90 90
631B34,6495028,field boxes viewable lines offset (refresh dialog),"Box, Field",74,201,1,4A C9 91
631D27,6495527,field dialog text choices X-Axis (refresh dialog),"Field, PositionX, Text",7,8,3,08; 07; 08
632CD7,6499543,field dialog text block scroll amount (refresh dialog),"Field, Text",3,3,1,03
632CEC,6499564,field dialog text block scroll amount (refresh dialog),"Field, Text",3,3,1,03
649A4A,6593098,modified code to only work when no dialog box on screen.,Box,0,232,1,E8 B1 C5 2C 00 90 90 90 90
6C20AF,7086255,Cursor Y-Axis,"Cursor, PositionY",32,32,1,20
6C20B2,7086258,Cursor X-Axis,"Cursor, PositionX",18,18,1,12
6C20E5,7086309,ghost cursor color box Y-Axis,"Box, Color, Cursor, PositionY",32,32,1,20
6C20E8,7086312,ghost cursor color box X-Axis,"Box, Color, Cursor, PositionX",18,18,1,12
6C213E,7086398,ghost cursor sound box Y-Axis,"Box, Cursor, PositionY",32,32,1,20
6C2141,7086401,ghost cursor sound box X-Axis,"Box, Cursor, PositionX",18,18,1,12
6C216F,7086447,sound box width,"Box, Width",60,60,1,3C
6C217F,7086463,sound box Y-Axis,"Box, PositionY",60,60,1,3C
6C218C,7086476,sound box X-Axis,"Box, PositionX",6,6,1,06
6C222D,7086637,sound box top numbers Y-Axis,"Box, PositionY",8,8,1,08
6C2234,7086644,sound box top numbers X-Axis,"Box, PositionX",34,34,1,22
6C22D1,7086801,sound box bottom numbers Y-Axis,"Box, PositionY",46,46,1,2E
6C22D8,7086808,sound box bottom numbers X-Axis,"Box, PositionX",34,34,1,22
6C2326,7086886,sound box bottom icon Y-Axis,"Box, Icon, PositionY",28,28,1,1C
6C235D,7086941,sound box cursor X-Axis,"Box, Cursor, PositionX",230,230,1,E6
6C239D,7087005,window color box Y-Axis,"Box, Color, PositionY",10,10,1,0A
6C23AA,7087018,window color box X-Axis,"Box, Color, PositionX",1,6,1,06 01
6C31FF,7090687,left text block Y-Axis,"PositionY, Text",38,232,1,6B C0 28 83 E8 26
6C3226,7090726,magic order Y-Axis,"MagicMenu, PositionY",38,234,1,6B D2 28 83 EA 26
6C325F,7090783,sound and music volume Y-Axis,PositionY,0,233,1,E9 3B 07 25 00 83 C2 02
6C32AA,7090858,Normal/Customize Y-Axis,PositionY,42,42,1,2A
6C32B1,7090865,Customize X-Axis,PositionX,11,11,1,0B
6C32F8,7090936,Initial/Memory Y-Axis,PositionY,82,82,1,52
6C32FF,7090943,Memory X-Axis,PositionX,11,11,1,0B
6C3346,7091014,Auto/Fixed Y-Axis,PositionY,26,26,1,1A
6C3350,7091024,Fixed X-Axis,PositionX,11,11,1,0B
6C33B5,7091125,Active/Recommended Y-Axis,PositionY,122,122,1,7A
6C33F9,7091193,Wait Y-Axis,PositionY,122,122,1,7A
6C33FC,7091196,Wait X-Axis,PositionX,1,248,1,F8 01
6C3454,7091284,restore/indirect/attack Y-Axis,PositionY,66,66,1,42
6C345E,7091294,restore/indirect/attack spacing X-Axis,"PositionX, Spacing",72,72,1,48
6C3461,7091297,restore/indirect/attack X-Axis,PositionX,96,96,1,60
6C3481,7091329,No. Y-Axis,PositionY,66,66,1,42
6C34B3,7091379,No. digit Y-Axis,PositionY,71,71,1,47
6C34B9,7091385,No. digit X-Axis,PositionX,37,37,1,25
6C34CD,7091405,Battle speed widget X-Axis,"Battle, PositionX",0,232,1,E8 E2 04 25 00 90
6C3508,7091464,Battle message widget X-Axis,"Battle, PositionX",0,232,1,E8 A7 04 25 00 90
6C3543,7091523,Field message widget X-Axis,"Field, PositionX",0,232,1,E8 6C 04 25 00 90
6C35AC,7091628,all Fast Y-Axis,PositionY,1,2,1,01 02
6C35B0,7091632,all Fast X-Axis,PositionX,1,8,1,08 01
6C35D6,7091670,all Slow Y-Axis,PositionY,1,2,1,01 02
6C35DA,7091674,all Slow X-Axis,PositionX,1,235,1,EB 01
6C35EA,7091690,all speed bars X-Axis,"Bar, PositionX",1,54,1,36 01
6C3602,7091714,all speed bars width,"Bar, Width",0,171,1,AB 00
6C3B60,7093088,color box cursor spacing X-Axis,"Box, Color, Cursor, PositionX, Spacing",92,92,1,5C
6C3B6D,7093101,color box cursor X-Axis,"Box, Color, Cursor, PositionX",228,228,1,E4
6C3BAE,7093166,color box ghost cursor spacing X-Axis,"Box, Color, Cursor, PositionX, Spacing",92,92,1,5C
6C3BBA,7093178,color box ghost cursor X-Axis,"Box, Color, Cursor, PositionX",10,228,1,0A E4
6C3BD3,7093203,RGB box RGB letters and numbers X-Axis,"Box, PositionX",17,17,1,11
6C3C3C,7093308,RGB box 'B' Y-Axis,"Box, PositionY",52,52,1,34
6C3CBD,7093437,RGB box top numbers X-Axis,"Box, PositionX",24,24,1,18
6C3CE1,7093473,RGB box top widget X-Axis,"Box, PositionX",88,88,1,58
6C3D56,7093590,RGB box middle numbers X-Axis,"Box, PositionX",24,24,1,18
6C3D79,7093625,RGB box middle widget X-Axis,"Box, PositionX",88,88,1,58
6C3DEC,7093740,RGB box bottom numbers X-Axis,"Box, PositionX",24,24,1,18
6C3E0E,7093774,RGB box bottom widget X-Axis,"Box, PositionX",88,88,1,58
6C3E4F,7093839,RGB box all bars X-Axis,"Bar, Box, PositionX",88,88,1,58
6C3EA1,7093921,RGB box cursor Y-Axis,"Box, Cursor, PositionY",74,74,1,4A
6C3EA4,7093924,RGB box cursor X-Axis,"Box, Cursor, PositionX",231,231,1,E7
6C3EB3,7093939,RGB box width,"Box, Width",106,106,1,6A
6C3ECF,7093967,RGB box X-Axis,"Box, PositionX",6,6,1,06
6C3EF4,7094004,selected color box bg width,"Box, Color, Width",42,42,1,2A
6C3F52,7094098,selected color box Y-Axis,"Box, Color, PositionY",10,10,1,0A
6C5A65,7101029,LVHPMP hp bar X-Axis,"Bar, PositionX",32,32,1,20
6C5A78,7101048,LVHPMP hp bar length,Bar,95,95,1,5F
6C5ADE,7101150,LVHPMP mp bar X-Axis,"Bar, PositionX",32,32,1,20
6C5AF1,7101169,LVHPMP mp bar length,Bar,95,95,1,5F
6C5D78,7101816,LVHPMP MAXHP X-Axis,PositionX,83,83,1,53
6C5E1A,7101978,LVHPMP MAXMP X-Axis,PositionX,83,83,1,53
6C5E2D,7101997,LVHPMP mp divider color palette,Color,7,7,1,07
6C5E31,7102001,LVHPMP mp divider height,Height,8,8,1,08
6C5E45,7102021,LVHPMP mp divider X-Axis,PositionX,75,75,1,4B
6C5E58,7102040,LVHPMP hp divider color palette,Color,7,7,1,07
6C5E5C,7102044,LVHPMP hp divider height,Height,8,8,1,08
6C5E70,7102064,LVHPMP hp divider X-Axis,PositionX,75,75,1,4B
6C62C2,7103170,main menu (OR ALL UI?) - HP bar X-Axis,"Bar, MainMenu, PositionX",32,32,1,20
6C62D5,7103189,main menu (OR ALL UI?) - HP bar length,"Bar, MainMenu",95,95,1,5F
6C633B,7103291,main menu (OR ALL UI?) - MP bar X-Axis,"Bar, MainMenu, PositionX",32,32,1,20
6C634E,7103310,main menu (OR ALL UI?) - MP bar length,"Bar, MainMenu",95,95,1,5F
6C6553,7103827,main menu (OR ALL UI?) - MAXHP Value X-Axis,"MainMenu, PositionX",83,83,1,53
6C65F2,7103986,main menu (OR ALL UI?) - MAXMP Value X-Axis,"MainMenu, PositionX",83,83,1,53
6C6605,7104005,main menu (OR ALL UI?) - MP divider color palette,"Color, MainMenu",7,7,1,07
6C6609,7104009,main menu (OR ALL UI?) - MP divider height,"Height, MainMenu",8,8,1,08
6C661D,7104029,main menu (OR ALL UI?) - MP divider X-Axis,"MainMenu, PositionX",75,75,1,4B
6C6630,7104048,main menu (OR ALL UI?) - HP divider color pallete,"Color, MainMenu",7,7,1,07
6C6634,7104052,main menu (OR ALL UI?) - HP divider height,"Height, MainMenu",8,8,1,08
6C6648,7104072,main menu (OR ALL UI?) - HP divider X-Axis,"MainMenu, PositionX",75,75,1,4B
6C6E73,7106163,gil 'g' X-Axis,PositionX,78,78,1,4E
6C6E91,7106193,gil value X-Axis,PositionX,1,223,1,DF 01
6C6EB6,7106230,gained gil 'g' X-Axis,PositionX,24,24,1,18
6C6ED5,7106261,gained gil value X-Axis,PositionX,0,202,1,CA 00
6C6EFB,7106299,left box cursor X-Axis,"Box, Cursor, PositionX",7,7,1,07
6C6F17,7106327,left box unknown cursor X-Axis,"Box, Cursor, PositionX",7,7,1,07
6C6F29,7106345,left box selection cursor X-Axis,"Box, Cursor, PositionX",22,22,1,16
6C6F3F,7106367,left box selection cursor spacing Y-Axis,"Box, Cursor, PositionY, Spacing",22,22,1,16
6C6FCC,7106508,post battle - left box item screen value spacing Y-Axis,"Battle, Box, ItemMenu, PositionY, Spacing",22,22,1,16
6C6FCF,7106511,left box item screen value Y-Axis,"Box, ItemMenu, PositionY",189,189,1,BD
6C6FD5,7106517,left box item screen value X-Axis,"Box, ItemMenu, PositionX",0,1,1,00 01
6C7013,7106579,post battle - right box item screen value spacing Y-Axis,"Battle, Box, ItemMenu, PositionY, Spacing",22,22,1,16
6C7015,7106581,right box item screen value Y-Axis,"Box, ItemMenu, PositionY",189,189,1,BD
6C701B,7106587,right box item screen value X-Axis,"Box, ItemMenu, PositionX",2,55,1,37 02
6C7045,7106629,gained gil no items X-Axis,"ItemMenu, PositionX",53,53,1,35
6C7097,7106711,gained gil/items Y-Axis,"ItemMenu, PositionY",23,23,1,17
6C7099,7106713,gained gil/items X-Axis,"ItemMenu, PositionX",53,53,1,35
6C70B9,7106745,item screen take evrything WORD Y-Axis,"ItemMenu, PositionY",150,150,1,96
6C70BE,7106750,item screen take evrything WORD X-Axis,"ItemMenu, PositionX",53,53,1,35
6C70DE,7106782,right box item screen item WORD Y-Axis,"Box, ItemMenu, PositionY",150,150,1,96
6C70E3,7106787,right box item screen item WORD X-Axis,"Box, ItemMenu, PositionX",1,122,1,7A 01
6C710B,7106827,item screen exit WORD X-Axis,"ItemMenu, PositionX",53,53,1,35
6C718D,7106957,post battle - left box item name spacing Y-Axis,"Battle, Box, ItemMenu, PositionY, Spacing",22,22,1,16
6C718F,7106959,left box item name Y-Axis,"Box, ItemMenu, PositionY",184,184,1,B8
6C7195,7106965,left box item name X-Axis,"Box, ItemMenu, PositionX",69,69,1,45
6C71DB,7107035,post battle - right box item screen name spacing Y-Axis,"Battle, Box, ItemMenu, PositionY, Spacing",22,22,1,16
6C71DE,7107038,right box item screen name Y-Axis,"Box, ItemMenu, PositionY",184,184,1,B8
6C71E4,7107044,right box item screen name X-Axis,"Box, ItemMenu, PositionX",1,138,1,8A 01
6C720E,7107086,gained gil items found Y-Axis,"ItemMenu, PositionY",23,23,1,17
6C7210,7107088,gained gil items found X-Axis,"ItemMenu, PositionX",53,53,1,35
6C7230,7107120,left box no items Y-Axis,"Box, ItemMenu, PositionY",150,150,1,96
6C7235,7107125,left box no items X-Axis,"Box, ItemMenu, PositionX",53,53,1,35
6C7C94,7109780,top left box 'p' Y-Axis,"Box, PositionY",18,18,1,12
6C7C9B,7109787,top left box 'p' X-Axis,"Box, PositionX",1,23,1,17 01
6C7CBD,7109821,top box exp value Y-Axis,"Box, PositionY",18,18,1,12
6C7CC4,7109828,top box exp value X-Axis,"Box, PositionX",0,181,1,B5 00
6C7CEC,7109868,top right box 'p' Y-Axis,"Box, PositionY",18,18,1,12
6C7CF2,7109874,top right box 'p' X-Axis,"Box, PositionX",1,23,1,17 01
6C7D14,7109908,top box ap value Y-Axis,"Box, PositionY",18,18,1,12
6C7D1A,7109914,top box ap value X-Axis,"Box, PositionX",0,181,1,B5 00
6C7D42,7109954,gained exp/ap Y-Axis,PositionY,23,23,1,17
6C7D49,7109961,gained exp/ap X-Axis,PositionX,56,56,1,38
6C82A9,7111337,bottom boxes EXP WORD Y-Axis,"Box, PositionY",24,24,1,18
6C82AC,7111340,bottom boxes  EXP WORD X-Axis,"Box, PositionX",1,34,1,22 01
6C82D9,7111385,Level WORD X-Axis,PositionX,142,142,1,8E
6C8303,7111427,next level WORD Y-Axis,PositionY,73,73,1,49
6C8306,7111430,next level WORD X-Axis,PositionX,0,244,1,F4 00
6C834E,7111502,exp bar height,"Bar, Height",10,10,1,0A
6C8358,7111512,exp bar width,"Bar, Width",0,234,1,E8 7C B5 24 00 C1 EA 05
6C8367,7111527,exp bar Y-Axis,"Bar, PositionY",81,81,1,51
6C836A,7111530,exp bar X-Axis,"Bar, Battle, PositionX",1,210,2,D2 01; D2 05
6C8392,7111570,exp box Y-Axis,"Box, PositionY",79,79,1,4F
6C8395,7111573,exp box X-Axis,"Battle, Box, PositionX",1,206,2,CE 01; CE 05
6C83C0,7111616,bottom boxes top 'p' Y-Axis,"Box, PositionY",29,29,1,1D
6C83C3,7111619,bottom boxes top 'p' X-Axis,"Box, PositionX",1,184,1,B8 01
6C83EE,7111662,bottom boxes bottom 'p' Y-Axis,"Box, PositionY",78,78,1,4E
6C83F1,7111665,bottom boxes bottom 'p' X-Axis,"Box, PositionX",1,184,1,B8 01
6C841C,7111708,bottom boxes exp value Y-Axis,"Box, PositionY",29,29,1,1D
6C841F,7111711,bottom boxes exp value X-Axis,"Box, PositionX",1,75,1,4B 01
6C844A,7111754,bottom boxes next level value Y-Axis,"Box, PositionY",78,78,1,4E
6C844D,7111757,bottom boxes next level value X-Axis,"Box, PositionX",1,75,1,4B 01
6C847A,7111802,bottom boxes level value Y-Axis,"Box, PositionY",78,78,1,4E
6C847D,7111805,bottom boxes level value X-Axis,"Box, PositionX",196,196,1,C4
6C8499,7111833,avatars Y-Axis,"Avatar, PositionY",12,12,1,0C
6C8605,7112197,level up text Y-Axis 0B,"PositionY, Text",10,10,1,0A
6C860C,7112204,level up text X-Axis 0D,"PositionX, Text",20,20,1,14
6C87DB,7112667,gained text,Text,0,185,1,B9 60 01 00 00 90
6C98AF,7116975,Box Y-axis,"Box, PositionY",0,0,1,00
6C9A8A,7117450,Box height,"Box, Height",66,66,1,42
6C9B3B,7117627,Text spacing,"Spacing, Text",26,26,1,1A
6C9B42,7117634,Text Y-axis,"PositionY, Text",13,13,1,0D
6C9B45,7117637,Text X-axis,"Box, MainMenu, PositionX, Text",1,252,2,FC 01; 15 02
6C9C7F,7117951,Box width,"Box, MainMenu, Width",117,138,3,75; 8A; 88
6C9C88,7117960,Box X-axis,"Box, MainMenu, PositionX",1,246,2,DD 01; F6
6CA1F6,7119350,"extend time to 999hr on counters, but main menu needs another hext to get it to display",MainMenu,54,238,1,7F EE 36
6CA88D,7121037,Cursor spacing Y-Axis,"Cursor, PositionY, Spacing",26,26,1,1A
6CA890,7121040,Cursor Y-axis,"Cursor, PositionY",17,17,1,11
6CA893,7121043,Cursor X-axis,"Cursor, MainMenu, PositionX",1,235,5,D2 01; EB 01; CA 01
6CA8C5,7121093,order ghost cursor Y-Axis - alternative value 53,"Cursor, PositionY",89,89,1,59
6CA8C8,7121096,order ghost cursor X-Axis,"Cursor, PositionX",0,0,1,00
6CA8E8,7121128,Cursor select spacing,"Cursor, Spacing",26,26,1,1A
6CA8EB,7121131,ghost cursor Y-axis,"Cursor, PositionY",17,17,1,11
6CA8EE,7121134,ghost cursor X-axis,"Cursor, PositionX",1,210,4,D2 01; CA 01; CA 01
6CA932,7121202,area box X-Axis,"Box, PositionX",71,137,4,89; 47; 47
6CA954,7121236,area box Y-Axis,"Box, PositionY",176,176,1,B0
6CA96C,7121260,area box text Y-Axis,"Box, PositionY, Text",9,9,1,09
6CA973,7121267,area box text X-Axis,"Box, PositionX, Text",12,12,1,0C
6CA97E,7121278,area box height,"Box, Height",42,42,1,2A
6CA980,7121280,area box width,"Box, Width",0,247,4,F7 00; 39 01; 39 01
6CA9BF,7121343,time/gil box X-Axis,"Box, PositionX",3,25,1,19 03
6CA9CB,7121355,time/gil box Y-Axis,"Box, PositionY",1,107,1,6B 01
6CA9D7,7121367,Time hour X-Axis digit capacity,PositionX,3,3,1,03
6CA9EC,7121388,Time hour Y-Axis,PositionY,14,14,1,0E
6CA9F3,7121395,Time hour X-Axis,PositionX,49,95,4,31; 45; 5F
6CAA02,7121410,"disable flashing on first colon, only on seconds, address to change colon color is 6CAA11",Color,7,224,1,90 90 90 90 90 90 90 90 90 1B C0 83 E0 07 6A 07
6CAA1C,7121436,Time hours colon Y-Axis,PositionY,16,16,1,10
6CAA23,7121443,Time minutes colon X-Axis,PositionX,80,116,4,50; 5A; 74
6CAA4A,7121482,Time minutes Y-Axis,PositionY,14,14,1,0E
6CAA51,7121489,Time minutes X-Axis,PositionX,89,127,4,59; 64; 7F
6CAA6C,7121516,Time minutes colon Y-Axis,PositionY,16,16,1,10
6CAA73,7121523,Time hour colon X-Axis,PositionX,110,121,4,6E; 79; 74
6CAA9B,7121563,Time seconds Y-Axis,PositionY,14,14,1,0E
6CAAA2,7121570,Time seconds X-Axis,PositionX,119,131,4,77; 83; 83
6CAAC0,7121600,Time word Y-Axis,"PositionY, Uncategorized",9,42,2,09; 2A
6CAAC7,7121607,Time word X-axis,PositionX,2,12,4,02; 09; 0C
6CAAE6,7121638,Gil amount Y-Axis,PositionY,39,42,3,27; 2A; 2A
6CAAED,7121645,Gil amount X-axis,PositionX,31,35,4,1F; 23; 1F
6CAB08,7121672,Gil word Y-Axis,PositionY,34,38,3,22; 26; 26
6CAB0F,7121679,Gil word X-axis,PositionX,2,13,4,02; 09; 0D
6CAB1A,7121690,Time/Gil box height,"Box, Height",66,66,1,42
6CAB1C,7121692,Time/Gil box width,"Box, Width",164,164,4,A4; A4; A4
6CAB27,7121703,Time/Gil box X-axis,"Box, PositionX",0,233,4,83 E9 0A; 83 E9 00; 83 E9 00
6CAC16,7121942,avatar Y,Avatar,2,192,11,83 C0 02; 83 C0 04; 83 C0 02
6CAC20,7121952,avatar X,Avatar,10,141,11,8D 44 0A 15; 8D 44 0A 15; 8D 44 0A 15
6CAC39,7121977,Next Level width main,Width,0,255,1,31 C9 8A 8D 88 FB FF FF 66 69 C9 84 00 31 D2 8A 91 AD FD DB 00 66 6B D2 3D C1 EA 05 52
6CAC5B,7122011,exp bar Y-Axis,"Bar, PositionY",49,50,4,32; 31; 31
6CAC62,7122018,Bar color X-axis,"Bar, Color, MainMenu, PositionX",5,75,5,4B; 4B 05; 49
6CAD4C,7122252,limit bar Y-Axis,"Bar, LimitMenu, PositionY",89,91,4,5B; 59; 59
6CAD53,7122259,Bar color flash X-axis,"Bar, Color, PositionX",75,75,4,4B; 4B; 4B
6CAD7B,7122299,exp box Y-Axis,"Box, PositionY",49,50,4,32; 31; 31
6CAD81,7122305,Bar border X-axis,"Bar, Box, MainMenu, PositionX",5,71,5,47; 47 05; 47
6CADA9,7122345,limit box Y-Axis,"Box, LimitMenu, PositionY",89,91,4,5B; 59; 59
6CADCE,7122382,next level text Y-Axis,"PositionY, Text",28,29,4,1D; 1C; 1C
6CADD5,7122389,next level text X-Axis,"MainMenu, PositionX, Text",5,87,2,48; 57 05
6CADF3,7122419,limit level text Y-Axis,"LimitMenu, PositionY, Text",68,70,4,46; 44; 44
6CADF9,7122425,limit level text X-Axis,"LimitMenu, PositionX, Text",72,72,1,48
6CAE35,7122485,limit level value Y-Axis,"LimitMenu, PositionY",72,75,4,4B; 48; 48
6CAE3B,7122491,limit level value X-Axis,"LimitMenu, PositionX",183,183,3,B7; B7; B7
6CC474,7128180,fastest text speed default,Text,0,0,1,00
6CDF19,7135001,control text pallete color,"Color, Text",6,6,1,06
6CDF2F,7135023,control text spacing Y-Axis,"PositionY, Spacing, Text",22,22,1,16
6CE015,7135253,controller select bg box X-Axis,"Box, PositionX",1,1,1,01
6CE01F,7135263,controller select bg box spacing Y-Axis,"Box, PositionY, Spacing",22,22,1,16
6CE022,7135266,controller select bg box Y-Axis,"Box, PositionY",126,126,1,7E
6CE02C,7135276,controller select bg box width,"Box, Width",4,4,1,04
6CE035,7135285,controller select bg box height,"Box, Height",20,20,1,14
6CE058,7135320,button/keys spacing Y-Axis,"PositionY, Spacing",22,22,1,16
6CE090,7135376,button/keys cursor spacing Y-Axis,"Cursor, PositionY, Spacing",22,22,1,16
6CE093,7135379,button/keys cursor Y-Axis,"Cursor, PositionY",128,128,1,80
6CF756,7141206,hide command box depending on sub-menu,"Box, ItemMenu, MagicMenu, StatusMenu, Text",0,232,15,E8 CE 4D 24 00 90; E8 CE 4D 24 00 90; E8 CE 4D 24 00 90
6CF79C,7141276,command box cursor spacing X-Axis,"Box, Cursor, PositionX, Spacing",72,72,6,48; 48; 48
6CF7BC,7141308,command box cursor X-Axis,"Box, Cursor, PositionX",1,236,4,01 E6; 01 EC; 01 EC
6CF7BD,7141309,command box cursor X-Axis,"Box, Cursor, PositionX",236,236,1,EC
6CF7E8,7141352,command box cursor spacing Y-Axis,"Box, Cursor, PositionY, Spacing",22,22,1,16
6CF7EC,7141356,command box cursor Y-Axis,"Box, Cursor, PositionY",11,12,2,0C; 0B
6CF823,7141411,limit box cursor X-Axis,"Box, Cursor, LimitMenu, PositionX",26,26,1,1A
6CF84E,7141454,limit box cursor spacing Y-Axis,"Box, Cursor, LimitMenu, PositionY, Spacing",24,24,1,18
6CF852,7141458,limit box cursor Y-Axis,"Box, Cursor, LimitMenu, PositionY",25,26,2,19; 1A
6CF877,7141495,defend/change cursor X-Axis,"Cursor, PositionX",17,26,7,1A; 1A; 1A
6CF898,7141528,defend/change cursor Y-Axis,"Cursor, PositionY",9,15,2,09; 0F
6CF8BD,7141565,item sub menu cursor X-Axis,"Cursor, ItemMenu, PositionX",0,255,10,F8 FF; 37; 0C
6CF8D3,7141587,item sub menu cursor spacing Y-Axis,"Cursor, ItemMenu, PositionY, Spacing",24,192,1,6B C0 18
6CF8D7,7141591,item sub menu cursor Y-Axis,"Cursor, ItemMenu, PositionY",1,126,2,7E 01; 65 01
6CF90E,7141646,magic sub menu cursor spacing X-Axis,"Cursor, MagicMenu, PositionX, Spacing",96,100,4,60; 60; 64
6CF914,7141652,magic sub menu cursor X-Axis,"Cursor, MagicMenu, PositionX",2,246,11,CB; F6; 06
6CF92F,7141679,magic sub menu cursor spacing Y-Axis,"Cursor, MagicMenu, PositionY, Spacing",24,210,1,6B D2 18
6CF934,7141684,magic sub menu cursor Y-Axis,"Cursor, MagicMenu, PositionY",1,126,2,7E 01; 65 01
6CF95C,7141724,summon sub menu cursor X-Axis,"Cursor, PositionX",2,255,11,FA FF; 36; 0B
6CF972,7141746,summon sub menu cursor spacing Y-Axis,"Cursor, PositionY, Spacing",24,210,1,6B D2 18
6CF977,7141751,summon sub menu cursor Y-Axis,"Cursor, PositionY",1,126,2,7E 01; 65 01
6CF9AC,7141804,"eskill sub menu cursor X-Axis, 3rd value for spacing, 9th for X-Axis offset","Cursor, PositionX, Spacing",0,246,6,69 D2 9C 00 00 00 83 EA 06 90; 69 D2 9C 00 00 00 83 EA CB 90; 69 D2 9C 00 00 00 83 EA F6 90
6CF9B4,7141812,eskill menu cursor X-Axis,"Cursor, PositionX",9,117,5,09; 4A; 75
6CF9D0,7141840,eskill sub menu cursor spacing Y-Axis,"Cursor, PositionY, Spacing",24,201,1,6B C9 18
6CF9D5,7141845,eskill sub menu cursor Y-Axis,"Cursor, PositionY",1,126,2,7E 01; 65 01
6CFA05,7141893,coin cursor X-Axis,"Cursor, PositionX",30,30,1,1E
6CFA34,7141940,coin cursor Y-Axis,"Cursor, PositionY",37,37,1,25
6CFA61,7141985,manip cursor X-Axis,"Cursor, PositionX",25,25,1,19
6CFA7A,7142010,manip cursor spacing Y-Axis,"Cursor, PositionY, Spacing",24,192,1,6B C0 18
6CFABE,7142078,battle square cursor spacing X-Axis,"Battle, Cursor, PositionX, Spacing",116,116,1,74
6CFAC5,7142085,battle square cursor X-Axis,"Battle, Cursor, PositionX",5,5,1,05
6CFADC,7142108,battle square cursor Y-Axis,"Battle, Cursor, PositionY",60,60,1,3C
6D0B2D,7146285,defend change boxes,"Box, PositionX",144,144,8,90 90 90 90; 90 90 90 90; 90 90 90 90
6D0B45,7146309,prevent defend/change box Y-Axis revert,"Box, PositionY",144,144,3,90 90 90 90 90; 90 90 90 90 90; 90 90 90 90 90
6D21A2,7152034,battle autosize and position help/attack,"Battle, Box, PositionY, Text",23,255,4,31 DB 66 8B 85 A8 FE FF FF 66 BA 58 FF 80 F9 17; 31 DB 66 8B 85 A8 FE FF FF 66 BA 58 FF 80 F9 17; 31 DB 66 8B 85 A8 FE FF FF 66 BA 30 FF 80 F9 17
6D7527,7173415,magic column count descriptions,MagicMenu,1,1,3,01; 01; 01
6D7581,7173505,magic column count cursor first column,"Cursor, MagicMenu",1,1,3,01; 01; 01
6D7A63,7174755,change Y-Axis,PositionY,6,12,2,06; 0C
6D7A8F,7174799,change X-Axis,PositionX,16,25,7,10; 10; 10
6D7AE1,7174881,defend Y-Axis,PositionY,6,12,2,06; 0C
6D7B0F,7174927,defend X-Axis,PositionX,16,26,7,10; 10; 10
6D7E4B,7175755,item box hidden area boxes and headers,"Box, ItemMenu",144,144,9,90 90; 90 90; 90 90
6D7E58,7175768,magic box hidden area boxes and headers,"Box, MagicMenu",144,144,9,90 90; 90 90; 90 90
6D7E64,7175780,summon box hidden area boxes and headers,Box,144,144,9,90 90; 90 90; 90 90
6D7E71,7175793,eskill (and summon?) box hidden area boxes and headers,Box,9,235,9,EB 09; EB 09; EB 09
6D7E76,7175798,remove part of main boxes visible on transparency,"Box, Opacity",0,0,1,00
6D84F2,7177458,pause text Y-Axis,"PositionY, Text",167,197,2,A7; C5
6D8507,7177479,pause text X-Axis,"PositionX, Text",255,255,1,FF
6D8512,7177490,Pause box height,"Box, Height",44,44,1,2C
6D8518,7177496,pause box width,"Box, Width",24,24,1,18
