index,func_ptr,func_rva,dispatch_key,key_hex,ffnx_hook_name
187,0x7ff628e0ab70,0x9ab70,4251794,0x40e092,
188,0x7ff628e0ac60,0x9ac60,4251898,0x40e0fa,
189,0x7ff628e0b020,0x9b020,4251933,0x40e11d,
190,0x7ff628e0b100,0x9b100,4251942,0x40e126,
191,0x7ff628e0b160,0x9b160,4251952,0x40e130,
192,0x7ff628e0b1e0,0x9b1e0,4251968,0x40e140,
193,0x7ff628e0b280,0x9b280,4252165,0x40e205,
194,0x7ff628e0b950,0x9b950,4252192,0x40e220,
195,0x7ff628e0ba60,0x9ba60,4252256,0x40e260,
196,0x7ff628e0bb90,0x9bb90,4252736,0x40e440,
197,0x7ff628e0ce40,0x9ce40,4252800,0x40e480,
198,0x7ff628e0d100,0x9d100,4252832,0x40e4a0,
199,0x7ff628e0d1b0,0x9d1b0,4252992,0x40e540,
200,0x7ff628e0d3a0,0x9d3a0,4253136,0x40e5d0,
201,0x7ff628e0d540,0x9d540,4253296,0x40e670,
202,0x7ff628e0d8c0,0x9d8c0,4253408,0x40e6e0,
203,0x7ff628e0dae0,0x9dae0,4253520,0x40e750,
204,0x7ff628e0de30,0x9de30,4253680,0x40e7f0,
205,0x7ff628e0e330,0x9e330,4253712,0x40e810,
206,0x7ff628e0e440,0x9e440,4253728,0x40e820,
207,0x7ff628e0e4b0,0x9e4b0,4253760,0x40e840,
208,0x7ff628e0e590,0x9e590,4253952,0x40e900,
209,0x7ff628e0ea10,0x9ea10,4254416,0x40ead0,
210,0x7ff628e0f4f0,0x9f4f0,4254448,0x40eaf0,
211,0x7ff628e0f5b0,0x9f5b0,4254480,0x40eb10,
212,0x7ff628e0f670,0x9f670,4254544,0x40eb50,
213,0x7ff628e0f890,0x9f890,4254608,0x40eb90,
214,0x7ff628e0fab0,0x9fab0,4254768,0x40ec30,
215,0x7ff628e100a0,0xa00a0,4254912,0x40ecc0,
216,0x7ff628e105f0,0xa05f0,4255104,0x40ed80,
217,0x7ff628e10a10,0xa0a10,4255936,0x40f0c0,
218,0x7ff628e117b0,0xa17b0,4255952,0x40f0d0,
219,0x7ff628e11800,0xa1800,4256080,0x40f150,
220,0x7ff628e11ae0,0xa1ae0,4256208,0x40f1d0,
221,0x7ff628e11e00,0xa1e00,4256336,0x40f250,
222,0x7ff628e120e0,0xa20e0,4256864,0x40f460,
223,0x7ff628e12c10,0xa2c10,4256960,0x40f4c0,
224,0x7ff628e12db0,0xa2db0,4257008,0x40f4f0,
225,0x7ff628e12e90,0xa2e90,4257200,0x40f5b0,
226,0x7ff628e13250,0xa3250,4257232,0x40f5d0,
227,0x7ff628e132d0,0xa32d0,4257344,0x40f640,
228,0x7ff628e135d0,0xa35d0,4257472,0x40f6c0,
229,0x7ff628e138d0,0xa38d0,4257584,0x40f730,
230,0x7ff628e13ca0,0xa3ca0,4257712,0x40f7b0,
231,0x7ff628e140b0,0xa40b0,4257824,0x40f820,
232,0x7ff628e143c0,0xa43c0,4257856,0x40f840,
233,0x7ff628e14460,0xa4460,4257936,0x40f890,
234,0x7ff628e14680,0xa4680,4258032,0x40f8f0,
235,0x7ff628e148e0,0xa48e0,4258208,0x40f9a0,
236,0x7ff628e14bd0,0xa4bd0,4259104,0x40fd20,
237,0x7ff628e16590,0xa6590,4259680,0x40ff60,
238,0x7ff628e16f70,0xa6f70,4259936,0x410060,
239,0x7ff628e17540,0xa7540,4260448,0x410260,
240,0x7ff628e17f30,0xa7f30,4260688,0x410350,
241,0x7ff628e18360,0xa8360,4261024,0x4104a0,
242,0x7ff628e18d90,0xa8d90,4261088,0x4104e0,
243,0x7ff628e18f20,0xa8f20,4261200,0x410550,
244,0x7ff628e19170,0xa9170,4261904,0x410810,
245,0x7ff628e1a0c0,0xaa0c0,4261920,0x410820,
246,0x7ff628e1a0e0,0xaa0e0,4261984,0x410860,
247,0x7ff628e1a3b0,0xaa3b0,4262048,0x4108a0,
248,0x7ff628e1a750,0xaa750,4262112,0x4108e0,
249,0x7ff628e1aa00,0xaaa00,4262672,0x410b10,
250,0x7ff628e1baa0,0xabaa0,4262720,0x410b40,
251,0x7ff628e1bc60,0xabc60,4262752,0x410b60,
252,0x7ff628e1bd30,0xabd30,4263152,0x410cf0,
253,0x7ff628e1c8a0,0xac8a0,4263472,0x410e30,
254,0x7ff628e1d270,0xad270,4263648,0x410ee0,
255,0x7ff628e1d7c0,0xad7c0,4264016,0x411050,
256,0x7ff628e1e020,0xae020,4264112,0x4110b0,
257,0x7ff628e1e2b0,0xae2b0,4264320,0x411180,
258,0x7ff628e1e800,0xae800,4264416,0x4111e0,
259,0x7ff628e1e9c0,0xae9c0,4264512,0x411240,
260,0x7ff628e1ebe0,0xaebe0,4265088,0x411480,
261,0x7ff628e1fb20,0xafb20,4265472,0x411600,
262,0x7ff628e20300,0xb0300,4265680,0x4116d0,
263,0x7ff628e207f0,0xb07f0,4265824,0x411760,
264,0x7ff628e20cc0,0xb0cc0,4266352,0x411970,
265,0x7ff628e21720,0xb1720,4266416,0x4119b0,
266,0x7ff628e21900,0xb1900,4266464,0x4119e0,
267,0x7ff628e21a10,0xb1a10,4266576,0x411a50,
268,0x7ff628e21e00,0xb1e00,4266624,0x411a80,
269,0x7ff628e21fb0,0xb1fb0,4266672,0x411ab0,
270,0x7ff628e22130,0xb2130,4266928,0x411bb0,
271,0x7ff628e22760,0xb2760,4268864,0x412340,
272,0x7ff628e245f0,0xb45f0,4269776,0x4126d0,
273,0x7ff628e25670,0xb5670,4269904,0x412750,
274,0x7ff628e25930,0xb5930,4269920,0x412760,
275,0x7ff628e25960,0xb5960,4269936,0x412770,
276,0x7ff628e25990,0xb5990,4270304,0x4128e0,
277,0x7ff628e260e0,0xb60e0,4270480,0x412990,
278,0x7ff628e26590,0xb6590,4270640,0x412a30,
279,0x7ff628e26980,0xb6980,4270720,0x412a80,
280,0x7ff628e26af0,0xb6af0,4270832,0x412af0,
281,0x7ff628e26e00,0xb6e00,4270880,0x412b20,
282,0x7ff628e26ec0,0xb6ec0,4271040,0x412bc0,
283,0x7ff628e27320,0xb7320,4271104,0x412c00,
284,0x7ff628e274a0,0xb74a0,4271216,0x412c70,
285,0x7ff628e27840,0xb7840,4271232,0x412c80,
286,0x7ff628e27890,0xb7890,4271424,0x412d40,
287,0x7ff628e280b0,0xb80b0,4271456,0x412d60,
288,0x7ff628e28180,0xb8180,4271888,0x412f10,
289,0x7ff628e28be0,0xb8be0,4271952,0x412f50,
290,0x7ff628e28db0,0xb8db0,4272064,0x412fc0,
291,0x7ff628e29110,0xb9110,4272336,0x4130d0,
292,0x7ff628e29780,0xb9780,4272496,0x413170,
293,0x7ff628e29bf0,0xb9bf0,4272512,0x413180,
294,0x7ff628e29c50,0xb9c50,4273216,0x413440,
